,Filepath,Label
38,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate1467.png,Moderate
39,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2657.png,Moderate
40,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\682312e82ee3.png,No_DR
41,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate976.png,Moderate
42,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr304.png,Proliferate_DR
43,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate1728.png,Moderate
44,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2801.png,Severe
45,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2046.png,Moderate
46,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr1581.png,Proliferate_DR
47,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr1898.png,Proliferate_DR
48,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild771.png,Mild
49,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\1fddd7c98fd2.png,No_DR
50,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr1383.png,Proliferate_DR
51,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2281.png,Mild
52,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2006.png,Proliferate_DR
53,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe238.png,Severe
54,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2772.png,Proliferate_DR
55,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\f9d52509c571.png,No_DR
56,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\a419fcb2dfb5.png,No_DR
57,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe893.png,Severe
58,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild401.png,Mild
59,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate1893.png,Moderate
60,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2622.png,Moderate
61,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild1763.png,Mild
62,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe393.png,Severe
63,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2996.png,Proliferate_DR
64,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild1154.png,Mild
65,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2131.png,Moderate
66,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2026.png,Mild
67,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1978.png,Severe
68,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2994.png,Severe
69,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe50.png,Severe
70,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe120.png,Severe
71,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate1916.png,Moderate
72,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1857.png,Severe
73,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2856.png,Mild
74,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2766.png,Severe
75,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe221.png,Severe
76,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\d0926ed2c8e5.png,No_DR
77,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\d99b0f7dd9b9.png,No_DR
78,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild101.png,Mild
79,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2345.png,Mild
80,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2743.png,Proliferate_DR
81,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2296.png,Mild
82,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\ba4e62c11cc0.png,No_DR
83,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\1fb455685328.png,No_DR
84,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild1913.png,Mild
85,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr1547.png,Proliferate_DR
86,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild622.png,Mild
87,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate301.png,Moderate
88,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr1943.png,Proliferate_DR
89,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2510.png,Mild
90,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\e4dcca36ceb4.png,No_DR
91,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1886.png,Severe
92,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate578.png,Moderate
93,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild312.png,Mild
94,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2376.png,Mild
95,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr245.png,Proliferate_DR
96,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild284.png,Mild
97,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2164.png,Severe
98,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2495.png,Mild
99,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr743.png,Proliferate_DR
100,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1674.png,Severe
101,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild565.png,Mild
102,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe895.png,Severe
103,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2752.png,Moderate
104,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1350.png,Severe
105,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2641.png,Moderate
106,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate693.png,Moderate
107,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\b351ae99413a.png,No_DR
108,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate162.png,Moderate
109,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild1376.png,Mild
110,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1102.png,Severe
111,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1493.png,Severe
112,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate266.png,Moderate
113,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr545.png,Proliferate_DR
114,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe245.png,Severe
115,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\b3f31c371e59.png,No_DR
116,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr885.png,Proliferate_DR
117,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1825.png,Severe
118,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2966.png,Mild
119,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2566.png,Moderate
120,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr542.png,Proliferate_DR
121,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1517.png,Severe
122,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild414.png,Mild
123,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2770.png,Mild
124,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr1800.png,Proliferate_DR
125,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe763.png,Severe
126,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2318.png,Proliferate_DR
127,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate1255.png,Moderate
128,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild546.png,Mild
129,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr1820.png,Proliferate_DR
130,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate97.png,Moderate
131,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\a8c9fcdbc0be.png,No_DR
132,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild1244.png,Mild
133,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr621.png,Proliferate_DR
134,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2817.png,Severe
135,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2722.png,Mild
136,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2836.png,Severe
137,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate1430.png,Moderate
138,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild640.png,Mild
139,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1296.png,Severe
140,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2288.png,Moderate
141,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2363.png,Moderate
142,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr1010.png,Proliferate_DR
143,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1121.png,Severe
144,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2321.png,Proliferate_DR
145,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr992.png,Proliferate_DR
146,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate867.png,Moderate
147,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate1971.png,Moderate
148,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2071.png,Mild
149,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe565.png,Severe
150,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2078.png,Moderate
151,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr312.png,Proliferate_DR
152,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild153.png,Mild
153,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild507.png,Mild
154,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2440.png,Proliferate_DR
155,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\675de69373f8.png,No_DR
156,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild16.png,Mild
157,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2817.png,Mild
158,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate1147.png,Moderate
159,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1368.png,Severe
160,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\daff5427c9b2.png,No_DR
161,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild253.png,Mild
162,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2834.png,Severe
163,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\e1c02f6c3362.png,No_DR
164,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate1385.png,Moderate
165,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\c21eb81de9fc.png,No_DR
166,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild1087.png,Mild
167,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2298.png,Moderate
168,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate38.png,Moderate
169,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2135.png,Proliferate_DR
170,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2507.png,Proliferate_DR
171,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr1162.png,Proliferate_DR
172,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1466.png,Severe
173,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2305.png,Severe
174,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate1323.png,Moderate
175,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild1431.png,Mild
176,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\ef247f28004f.png,No_DR
177,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\188219f2d9c6.png,No_DR
178,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate1377.png,Moderate
179,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild813.png,Mild
180,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1562.png,Severe
181,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2938.png,Mild
182,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\a7673ac44509.png,No_DR
183,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2453.png,Moderate
184,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\4b6cb0bcfd44.png,No_DR
185,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2461.png,Mild
186,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2646.png,Mild
187,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr928.png,Proliferate_DR
188,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2148.png,Moderate
189,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild726.png,Mild
190,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\83df53d58f28.png,No_DR
191,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2046.png,Proliferate_DR
192,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2011.png,Proliferate_DR
193,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1182.png,Severe
194,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild1263.png,Mild
195,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe3000.png,Severe
196,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2584.png,Severe
197,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr1041.png,Proliferate_DR
198,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe361.png,Severe
199,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2327.png,Mild
200,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe113.png,Severe
201,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\8f10e41a2f02.png,No_DR
202,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe14.png,Severe
203,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2130.png,Severe
204,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate280.png,Moderate
205,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1312.png,Severe
206,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\6bf2a81a5d91.png,No_DR
207,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe165.png,Severe
208,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\30263a7d5609.png,No_DR
209,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2442.png,Severe
210,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild958.png,Mild
211,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr960.png,Proliferate_DR
212,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2294.png,Severe
213,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\66460ecab347.png,No_DR
214,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr996.png,Proliferate_DR
215,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2824.png,Severe
216,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\a6356a3c5d11.png,No_DR
217,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe205.png,Severe
218,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild1602.png,Mild
219,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate1477.png,Moderate
220,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate507.png,Moderate
221,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\6de39b94f634.png,No_DR
222,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\a08a0133754a.png,No_DR
223,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\2408799a09b2.png,No_DR
224,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\fbdc796290d4.png,No_DR
225,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2163.png,Severe
226,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2551.png,Proliferate_DR
227,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2830.png,Mild
228,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate1172.png,Moderate
229,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2747.png,Proliferate_DR
230,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\8e2a3978c244.png,No_DR
231,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2391.png,Severe
232,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate1343.png,Moderate
233,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2911.png,Severe
234,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild1893.png,Mild
235,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr1848.png,Proliferate_DR
236,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild464.png,Mild
237,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2223.png,Proliferate_DR
238,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2562.png,Mild
239,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2606.png,Severe
240,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2522.png,Moderate
241,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\51a078d6d43a.png,No_DR
242,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1525.png,Severe
243,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild154.png,Mild
244,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2026.png,Proliferate_DR
245,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2286.png,Severe
246,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\9ba469af2980.png,No_DR
247,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate1650.png,Moderate
248,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2791.png,Proliferate_DR
249,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\103abbd8b63e.png,No_DR
250,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2204.png,Mild
251,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe1062.png,Severe
252,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2124.png,Proliferate_DR
253,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\d865997a6280.png,No_DR
254,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2073.png,Proliferate_DR
255,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr1164.png,Proliferate_DR
256,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2917.png,Proliferate_DR
257,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr271.png,Proliferate_DR
258,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2165.png,Proliferate_DR
259,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild2027.png,Mild
260,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\1891698febce.png,No_DR
261,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe2001.png,Severe
262,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr548.png,Proliferate_DR
263,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\5056fa7d505f.png,No_DR
264,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild3007.png,Mild
265,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\436e7a7af761.png,No_DR
266,D:\Documents\Final Year Project\gaussian_filtered_images\Severe\fundus_img_severe451.png,Severe
267,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate2696.png,Moderate
268,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2287.png,Proliferate_DR
269,D:\Documents\Final Year Project\gaussian_filtered_images\Moderate\fundus_img_moderate864.png,Moderate
270,D:\Documents\Final Year Project\gaussian_filtered_images\Mild\fundus_img_mild1037.png,Mild
271,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\f7e9fa75c7c1.png,No_DR
272,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\8f9819752ca0.png,No_DR
273,D:\Documents\Final Year Project\gaussian_filtered_images\Proliferate_DR\fundus_img_pdfr2216.png,Proliferate_DR
274,D:\Documents\Final Year Project\gaussian_filtered_images\No_DR\2a93334f663a.png,No_DR
